Description;Intent
Big Achievement: Nepal's first sounding Rocket GARUDA by made by Nepali students wins Nancy Squires Team Spirit Award at World's largest Rocket Engineering Competition" Spaceport America Cup 2021". 75 teams from different countries participated in this competition. ;Surprise

Amazing: Nepali ecologist, Rinzin Phunjok Lama has been selected as one of the winners of Rolex award for his conservation work in Humla related to wild yaks, Snow leopards etc. He will receive a huge cash prize ( Around NRs. 2.5 Crores) to continue his project.;Surprise

 Lamahi Rape Case Update: A 21 years old male has been arrested from Lamahi, Dang out of the three people who have been accused of Raping, Robbing and Kidnapping. The other two people have run away and Police is in search of them. They tied up tipper driver and co-driver to a tree in a Jungle and then raped the driver's 27 years old wife and her sister of age around 20. They also robbed around NRs. 60,000 from those people. Further investigation is going on.;Angry

Wow.. A 7 Ft long Python was found in Buddhasanti Jhapa today. It was rescued by concerned authorities later and shifted to a safer place. ;Surprise

Nepal Police Cyber Bureau le Club House app ma Police ko photo ra logo misuse gareko, fake ID banako aarop ma 20 yr old male lai Bhaktapur bata arrest garera karbahi suru gareko cha.;Funny

Breaking: Nepal Government has decided to give permission to fly domestic flights with 50% occupancy and following all precautions through Tourism Ministry's arrangement and permission. Flights starting date will be announced soon after Tourism Ministry's arrangement. ;Surprise

Just In: NTC network for Call & SMS is not working properly since early morning in Kathmandu valley.;Sad

Class 12 Exam Update: NEB le ahile samma exam ko lagi official disscussion gareko chaina so rumor haru ignore garnu hola. According to the officials, "Nisedhagya halka Loose vayeka le aba kei din ma meeting conduct garera discussion agi badaune chhau".;Funny

Nepali PM KP Oli's recent statement about origin of Yoga is creating headlines in Indian media again. On Yoga day, He said, " योगको उत्पन्न प्राचीन नेपाल वा उत्तराखण्डमा भएको हो". His previous statement about Ayodhyapuri also became a topic of debate in Indian media.;Funny

Sindhupalchowk Flood Update: Death toll due to flood in Sindhupalchowk has reached to 5. 20 people are still missing and the process of searching them is going on.;Sad

Just in: Nepal Government has decided to start Domestic airlines with 50% capacity from July 1 i.e. Ashar 17.;Funny

Breaking: Nepal Oil Corporation (NOC) has increased the price of Petrol, Diesel and Kerosene by NRs. 2 per litre.;Angry

Hami Nepal team is currently distributing relief materials in Manang which is highly affected by flood. This is a picture of the rescue helicopter stuck due to bad weather where they had to spend a night in Tachai, Manang. More than 20 flights have been conducted already for rescue and relief.;Sad

Midnight Flood Warning: Water Flow of Bhote Koshi river & Sunkoshi near Barahbise, Dolalghat area have crossed warning levels. Please inform people living around the river area to remain alert. #StaySafe;Sad

After huge flood - Chairman of Helambu Gaupalika, Nima Gyaljen Sherpa says, "Helambu is the main source of drinking water by maintaining cleaniless and other infrastructure while supplying water to Kathmandu Valley. But at this time of need when 80% of the Municipality is affected by flood only NRs 50 lakhs is being granted as assistance by Kathmandu Metropolitan City. Kathmandu Metro has provided NRs 2 crores to other Municipality where the damage is compatively less. The assistance is not enough and it is a huge discrimination. I am ready to take NRs 1 from other Municipalities happily as help but we are in need and expect more help from Kathmandu." ;Sad

Tribute to Nepalese Gurkha by England Government: Brittain's Great Western Railway has named the Intercity Express Train 800022 after retired Gurkha Soldier, Tulbahadur Pun. He is also one of the Gurkha Soldiers to receive the prestigious Victoria Cross. ;Surprise

Emotional Moment: Locals and businessmen of Helambu and Chanaute, Sindhupalchok moving to a safer place along with their goods after getting affected by Melamchi flood. ;Sad

Social media ma fake id haru banaudai manche haru ko photo misuse, chada message ra Tiktok ma chada/double meaning voice ma aru ko photo ra video clip halne 21 yrs old male lai Police le Dang bata arrest gareko chha.;Funny

2020 ma matrai Nepal ma almost 163,000 ota unsafe abortion vayeko cha vane almost 264,000 unplanned Pregnancy vayeko chha. ;Sad

She is 23 years old Amita Suman, British actress of Nepali origin who has been starred in Netflix series 'Shadow and Bone'. She has earned many fans through her character as Inej Ghafa. She was born in a village of southern Nepal and went to Britain when she was 7 years old. It was her dream to be on TV since her childhood. She has also been on the cover of British Magazine 'Wonderland' which was a proud moment for her. It is wonderful to see people of Nepali origin getting successful in different parts of the world. ;Surprise

Sarlahi ma Pokhari (Pond) ko case ma bibad vayepachi JCB driver le dozer ko bucket le hanera Ward head lai maareko vanne khuleko cha vane Police le driver lai arrest gareko chha.;Surprise

People in line to take free food distributed by different organizations at Kathmandu's Dallu Bridge as Nisedhagya has made life difficult for daily wage workers and labours. ;Sad

Tanker Aatanka: Saptari ma eutai tanker le 2 km ko distance ma 2ta bike lai handa 2 jana ko death vayeko chha.;Sad

Big Achievement: Nepali Security Researcher Pankaj Thakur has been awarded with more than NRs 40 lakh by Microsoft for finding a security issue in edge Browser. He found Remote Code Execution (RCE) bug in Microsoft Edge.;Surprise

Achievement: Popular Nepali PUBG Gamer/Streamer Pawan Jung Shahi aka 4K Gaming has received official gaming partnership from Facebook starting from July 1.He will still upload videos on YouTube though. He says, "It is a great opportunity for a gaming content creator from Nepal. I have chosen Facebook platform for live streaming instead of YouTube as it which would help me pay well to my 8 teammates and give more to my audience. My teammates and the audience are the pillars behind my success." ;Surprise

Lockdown Update: CDOs of Kathmandu valley will take further decisions tomorrow morning regarding Nishedhagya and what modality and rules to follow for different sectors as the decision couldn't be made today.;Funny

Wow.. Sundar Yatayat is planning to establish Electric Vehicles Factory (assembly plant) in Nepal soon. The plant will most probably be established in Rupandehi and expected to produce more than 100 electric vehicles per year if everything goes as planned.;Surprise

Back to back pressure by Medical College: Inspirational Student from Chamar community, Ramji Ram who is a final year MBBS student at National Medical College, Birgunj has been pressurised to pay a bill of NRs. 8.73 lakhs again within Ashar 22 to be eligible to give final exam. He says, "I don't have to pay the annual fees. It will be paid by government. Similarly, I left the college hostel at the end of Chaitra 2077 but the unnecessary hostel expenses of this year has also been added. Where should I go for justice now or is starting a protest a solution? I will not pay the unnecessary and unreasonable amount of fees.;Sad

Today is international lightening safety day ( अन्तराष्ट्रिय चट्याङ सुरक्षा दिवस ). 28 people have lost their lives till Baisakh and 105 have been injured due to lightening. To be safe, Don't stay in open spaces, under tall trees, touch water/wired electronic devices during lightening.;Sad

Nepal Police has arrested Sapana Roka Magar, members of "Hamro team" as they didn't leave the Government land in Anamnagar which they were using for cooking food for needy and storing. Hamro team has been actively doing social work & feeding programs using that place as their office.;Sad

Just In: Nepal Police has released Sapna Roka Magar and other members who had been arrested for using Government land in Anamnagar to help needy people.;Angry

Amazing: Nepal's Everest Base Camp trek of has been listed in "The Top 50 Places In The World In 2021" by Laura Begley Bloom in Forbes Magazine. ;Surprise

TU Exam Update: Tribhuvan University, Faculty of Management, has published a notice regarding regular final examination for even semesters of BBA, BIM, BBM, BBA-F, BPA, BHM, BMS and BTTM. The exam will be held from 4th week of Shrawan.;Sad

Honesty at it's best: Journalist Raju Poudel & his friend found a electricity bill with 1050 rupees with it at Kalanki Chowk when they were walking. Raju, checked the bill and used eSewa to pay his bill of 675 rupees. And he has promised that he will pay the remaining amount in another month as it was difficult to find the person who lost it.;Surprise

Medical Entrance Exam Update: Medical Education Commission- Nepal has released routine for Entrance examination:Shrawan 9- MBBS Shrawan 10- BDS Shrawan 11- BSc. Nursing, BASLP, BSc Perfusion Technology Shrawan 12- BAMS, BNS, Bsc. MLT, BSc.MIT, B Pharma, Optometry, BPT Shrawan 13 - BPH;Sad

Success Story: Basanta Gharti, a young guy from Surkhet, who started his online business journey back in 2010 has achieved great success. He and his team has crossed over 2 million dollars on sales in E-commerce Drop Shipping business since the pandemic began, according to him. He has travelled to over 25 countries and lives a nomadic lifestyle. ;Surprise

Weather Update For next 3 days:Light to moderate rains in most parts of the country as well as heavy rains in one or two places in Province 1, Province 2, Bagmati, Gandaki, Lumbini, Karnali and Sudhurpaschim Province is expected. #StaySafe;Surprise

Breaking: Kathmandu-Pokhara highway is blocked due to landslide in different places of Kathmandu- Mugling - Damauli road. Meanwhile, Mugling - Narayanghat road is also block due to landslide.;Sad

Kei din agi Raute women mathi harrasment gardai video banaune 2 jana lai court le jabarjasti Karani ko muddha ma jail chalan (पुर्पक्षका) garna adesh deyeko chha vane room milaidiney hotel Sahu lai pani jail chalan vayeko chha.;Sad

Tribute to Historic Hero: Nepal Government has declared Bhakti Thapa as National Eminence (राष्ट्रिय विभूती). He played vital role in Unification of Nepal and led wars to protect our boundaries. ;Surprise

Dr. Govinda KC has finally returned to Nepal after serving needy people of Yemen for nearly 3 months. He did treatment of 100s of injured people &  patients. ;Surprise

Flood Alert: The water levels at Koshi, Narayani, Eastern Rapti, Kankai rivers and their tributaries is expected to rise and reach the alert level. Similarly, the water levels at Bagmati and Kamala river is expected to cross the alert level and reach the danger level. So, people in those areas are requested to be alert. #StaySafe;Sad

Huge traffic Jam at Anbu Khaireni, Prithivi Highway due to Landslide ahead. The highway is facing regular traffic Jam today. People are advised to avoid travelling unless emergency. ;Sad

NEB Class 12 Exam Update: Exam ko barey aahile social media ma fake news/rumour haru failirako chha ignore garnu hola kina vane NEB le yesko lagi aahile samma officially meeting baseko chaina vane aba balla sakdo chito meeting basera decision garne tayari ma chha.;Funny

Amazing: 12 years old Abhimanyu Mishra from New Jersey, US becomes the Youngest Grandmaster in the history of Chess. Apart from World Champion, Grandmaster is the highest title a chess player can attain. ;Surprise

Highway Update: Mugling - Narayangarh road has been completely blocked again due to a landslides in different places. Similarly, Mugling-Pokhara highway is fully opened for now. ;Sad

Different places in Nepal including Sauraha, Chitwan are experiencing continuous rainfall causing flood. Some people are still missing. Around 100+ houses in Chitwan have been swept away due to flood. People are facing a lot of difficulties and are requesting for help. ;Sad

Earthquake Alert: An earthquake of Ml 4.1 occurred around Saipal of Bajhang/Bajura district at last night 10:02 PM.;Surprise

Alert: Water flow at Koshi River is almost above normal and is still in rising trend. This has increased the risk and people in the area are requested to be alert. #Staysafe;Sad

Nostalgic: A new El Clasico has been announced between Real Madrid Legends and Barcelona Legends which will be played in Israel on July 20. Are you excited to relive your young days?;Surprise

Latest condition of landslide of Muglin - Narayanghat road: Road is now 1 side clear and official are working to open both sides.;Surprise

Driving Licence Update: Preparation to take written and trial examination through new and advance system for driving license is in final stage. The exams were stopped due to Nishedhagya. P.S. The exact date for the examination has not been declared yet.;Surprise

Ramji Ram Case Update: Medical Education Commission (MEC) has sent a letter to IOM Dean Office to make arrangements to allow Ramji Ram and 3 other students for filling the examination form. They were not allowed to fill the form by National Medical College, Birgunj claiming unnecessary fee charges. The form is supposed to filled by Ashar 22.;Surprise

Few moment ago's Tipper Aatanka: Kathmandu ko New Buspark- Manamaiju area ma tipper le bike lai handa bike ma baseka 2 jana kai spot death vayeko cha.;Sad

Achamma: Afno Chora lai bdesh pathayera ramro kaam namilaidine agent lai goli hani hatya gareko arop ma Police le bau lai Kapilvastu bata arrest gareko chha.;Surprise

Real Hero: Star Nepali actor Ramit Dhungana has donated more than NRs 2.5 crores to needy people who are affected due to current situation in Nepal with the help of INTRA. He has also donated more than NRs 50 lakhs from his pocket. He is actively involved in social service since the pandemic without any big publicity. He has not only made our childhood memory beautiful with his role in good film & superhit songs but also through his kindness work in ongoing situation. ;Surprise

Hatti Aatanka: People of Rajdevi, Rautahat are in panic situation due to wild elephant attack in Village. Elephant has destroyed an houses, vehicles and so on. No human injury has been reported till now.;Sad

Argentina Enters the Semi final of ongoing Copa America 2021 after winning the match against Equador by 3-0. Messi scored a goal and gave two assists.;Surprise

Struggle: Locals helping to cross motorcycle on BP Highway which was stuck due to flood in Mamti River. ;Sad

Breaking: CDOs of Kathmandu Valley have decided to extend the Nishedhagya in valley for further 10 days (till Ashar 31). Odd-even system is removed, it means all type of vehicles can run from Ashar 22 adopting health precautions and safety.;Funny

Group of youths and artist demonstrated against  removal of art made in tribute to frontliners that have worked day and night during pandemic. ;Surprise

Good News: Nepal Government has announced to provide grant assistance worth NRs. 50,000 per family to 572 families in different districts of Nepal whose houses have been partially or completely damaged till Ashar 16 due to the monsoon this year. The government will continue to provide this kind of relief assistance to monsoon victims in the coming days. ;Surprise

Many Students of TU have requested to adopt alternative methods like other universities rather than conducting physical examinations in the ongoing situation. TU has published routine for annual exam to be conducted physically at the nearest center possible for the students but students say that they are in tension and pressure because it is risky not only for them but also for their family members especially for the old people and people with a weak health condition. Moreover, the exam centre for some of the students is more than 50km from where they are currently living. P.S. They have also requested to publish notice soon considering the situation.;Sad

Early Morning Earthquake Alert: 3.2 Magnitude Earthquake with epicenter in Kuleshwor, Kathmandu at 6.32 AM.;Surprise

Bardiya ma afnai bau le chori lai rape garna khojeko arop ma Police le Bau lai arrest gareko chha. Yo vanda paila pani dherai patak bau le jabarjasti garna khojeko tara samaj le k vanla vanera chup baseki chori atti vayesi Police ma report gareko vaneki chhan.;Angry

Nepal Army rescuing the flood victims at different places of Chitwan. They are also in search of the missing people due to flood. ;Sad

Long line for second dose today at Civil Hospital, Kathmandu. ;Surprise

A father who was returning back home with his son after buying book for new class was hit by a truck and died on the spot in Tanahun . Locals have blocked the road as of now.;Sad


Much awaited European SUV Skoda kushaq is coming to Nepal in Shrawan and bookings are open already. It has award winning TSI Engine and other simply clever features. ;Surprise

Sujita Bhandari death Case:Curfew has been announced on East-West Highway near Rapti-1 to Rapti-4 from tonight until 7:30 PM evening tomorrow by DAO, Chitwan as Locals of Rapti Municipality have started protesting around that area. P.S. Only long distance vehicles will operate during that time.;Sad

Back to back price Hike:Nepal Oil Corporation has increased the price of Petrol, Diesel and Kerosene by NRs. 2 per litre.Meanwhile, price of LP Gas has been increased by NRs. 25 per cylinder.;Angry

Breaking: Parbat ko Sundare Khola le Vehicle ( गाडी) bagauda kamti ma 2 jana gayab vayeka chhan.We request everyone to stay alert while travelling & crossing river during rainy condition.;Sad

Sujita Bhandari Death Case Update: The cause of death of Sujita Bhandari could not be identified with the postmortem report. According to the report, "There is no mark of suicide in her body. Sign of rape is also not seen. No external or internal injury was seen in the body". So, now Viscera test will be done. The actual reason of the death may be known after the Viscera test report. Sujita was missing for 9 days and her dead body was found in a community forest of Rapti Municipality, Chitwan.;Sad

Breaking: Legendary Bollywood Actor Dilip Kumar has passed away. He was famous for his roles in Mughal-e-azam, Devdas and many more old movies. ;Sad

Breaking: Argentina enters the final of ongoing Copa America 2021 after winning the interesting match against Colombia.;Surprise

Baby Siyona will get World's most expensive gene therapy "Zolgensma" for free through Novartis managed access programme lottery. The drug costs more than $2.1 Million.The drug company has agreed to ship the lottery drug next week and siyona would be finally getting gene therapy on 12/13th July as per her father Sandeep.;Surprise

Wow..Founder of Amazon, Jeff Bezos has again become the richest person in the world with net worth of more than $210 Billion after recent increase in shares of Amazon.;Surprise

Youth of Dang celebrating birthday of Former king Gyanendra Bir Bikram Shah Dev by lighting candle at chowk.;Surprise

TU Results Update: Tribhuvan University is planning to publish the results of all annual and semester wise examinations of different levels by the end of Ashar so that the students can get enrolled in the next academic level/session without further delay, according to Officials.;Surprise

Nepali Actress/producer Jenny Kunwar ko dead body Jhundiyeko aawstha ma afno apartment ma last night vetiyeko chha. Initial investigation ansuar husband baira gayeko mauka ma Aatmahatyaa gareko khuleko chha.;Sad

Nepal's passport is listed as one of the weakest in the world as it is placed at 109th out of 116 countries with free-visa available only for 38 countries. Japanese passport is the strongest passport as per the ranking published by Henley Passport Index.;Sad

On the occasion of 40th birthday of MS Dhoni, MS Dhoni Fan Club, Birgunj celebrated their idol's birthday by blood donation event along with providing food & donations to more than 100 people & Manavsewa Ashram. ;Surprise

Huge landslide at Tur turey Jharana at Nanglibang, Parbat. ;Sad

Back to Back award to Mahabir Pun's National Innovation Cente: NAST has awarded NIC with 'Kulpati Rastriya Nawa Prabartan' award. In Picture, CEO of NIC Mira Pokharel taking award from PM KP Oli at the award program.;Surprise

An unusual scene was seen in the sky above Sindhupalchowk today evening: As per Nepal Astronomical Society, It was not any object from space or related to aliens but it was a normal regular activity under Nepal Army's 'Battlefield Illumination'.;Surprise

Bhaktapur ko Ghyampe Danda Jungle ma parking gari Sarkari Gadi mai physical relation ( शारीरिक सम्बन्ध) rakhirako aawstha ma Police le 2 jana lai arrest gareko cha vane baira wait garirako 1 jana driver ni arrest vayeka chhan.;Funny

Paani Paani: Difficult Condition of Banepa today as water entered Pulbazar area after increase in waterflow at Punyamata river.;Sad

Struggle for health service: A patient being carried to nearby health post on stretcher in Bhojpur as unpitched roads are difficult for vehicles to run during monsoon because of Mud. ;Sad

Nepal Government has decided to increase the number of International fights except flights to India. Now, a total of 53 international flights per week will be operating to different countries which were previously limited to about 24.;Surprise

Pokhara ko Chhorepatan ma Police lai Rs. 500 Ghus deyera milau vanda Police le na manepachi ultai misbehave garne ek jana bus conductor lai Police le arrest garera mudda chalayeko cha.;Funny

96 people have lost their lives due to Natural disasters (Flood, Landslide, Lightening, Rainfall, Wind) from Baisakh 1st in Nepal. 36 people are still missing, according to NDRRMA.;Sad

Historic Record in UEFA Euro 2020: Italian Goalkeeper & Hero of Penalty Shootout, Gianluigi Donnarumma also becomes the first ever goal keeper to be awarded with the Player of the tournament award in Euro Cup history. ;Surprise

Wow.. Team of Nepali mechancial engineering students from WRC Pokhara, 'Himalayan Peasant' has developed a three wheel energy efficient electric vehicle and selected in ontrack event of Shell Eco Marathon, which is prestigious global competition of engineers.Unfortunately, the on track event couldn't happen this year due to the pandemic.  All expense for participating was beared by the students themselves. Thank you for making us proud. ;Surprise

Big Breaking: PM KP Sharma Oli group and Madhav Kumar Nepal group reached a 10-point agreement and have planned to unite once again as one party. Details to follow..;Funny

Veteran artist Madan Krishna Shrestha has been awarded with the National Talent Award 2077 (राष्ट्रीय प्रतिभा पुरस्कार २०७७). He was also honoured with a cash price of Rs 1 lakhs by Nepal Government. ;Surprise

Finally, PM KP Sharma Oli has officially inaugurated the newly constructed Surgical building of Bir Hospital. This will be very helpful for a lot of patients in the coming days. ;Surprise

Good News: Nepal Government has provided Nrs. 4 lakhs each to member of Nepal National Football team for winning Three Nations Cup title.;Surprise

Honest Driver: Auto Driver Ram Prasad Jhakri from Dang was honoured by District Police for his honesty as he returns a bag containing cash of Nrs 37,000 and a gold chain of 1 tola which was mistakely left by passenger in his auto while travelling. We appreciate his honesty and also encourage other people to do such work. ;Surprise


More than 15 lakh doses of COVID-19 vaccine provided by United States of America has finally arrived in Nepal. US Ambassador Randy Berry handed it over to officials today in a program. ;Surprise

New IPO record in Nepal: According to CDSC more than 21 lakh applicants have applied for almost 3.4 crore units of Union Life Insurance until 5:08 pm today. It is the highest number of applicants for a single IPO issue in Share Market History of Nepal.;Funny

TU Exam Update: CCMC-Nepal has given permission to Tribhuvan University to conduct all exams of TU in the month of Shrawan by following the conditions given by CCMC.;Sad

Dengue Alert: 477 cases of Dengue has been recorded from Shrawan 2077 till today in 52 districts of Nepal. The highest number of cases were recorded in Myagdi which is 86.;Sad

Aerial view of Long traffic jam at Mugling-Narayangarh Highway today morning due to landslide. The highway gets affected regularly during this season.;Sad

Morang ko Rangeli ma Chori ( छोरी) janmiyo vanera bharkhar janmeko bachha lai marne Bau- Aama sahit hajurba-hajur aama lai Police le arrest gareko cha.;Angry

Wow.. One of the biggest Damaha (Nagara) of Nepal of around 280 KGs being built in Baglung's Kathekhola with an aim to preserve our old culture and musical instruments.;Surprise

Mahottari ma Bhauju (Sujita) ko hatya garera safety tank ma gaadera plaster gari rakheko aarop ma police le Dewar sahit 4 jana lai arrest garera public gareko cha.;Sad

Big News: Department of Transport has increased the fare (भाडा) for long route vehicles that operate in two or more than two province in Nepal which was implemented from yesterday. The increment is as follows: Fare increased by 28 % for passenger bus. Fare for vehicles carrying goods (मालबाहक) that operate in hilly region increased by 20%. Fare for vehicles carrying goods that operate in Terai region increased by 26%.;Surprise


Warm farewell to Ex Prime Minister KP Oli. During his tenure of more than 40 months,  Many things were appreciated by the public and many decisions were criticised. Overall, Oli's Popularity was more than expected and he always made headlines for good or bad and was the topic of interest in Social Media as well.;Funny

Back to back Rape Case: Parsa ma 15 yrs old girl lai job milaidinchu vandai basghari( बाँसघारी) ma lagera jabarjasti rape gareko arop ma Police le 25 yrs old male lai arrest gareko chha.;Angry

Inspirational 42 yrs old Female Athlete: Former Nepali Mountain bike champion, Nirjala Tamrakar has made a history by becoming the first female from Nepal to complete full Ironman Distance Triathlon in 15 hours and 13 minutes which was held in UK. The Triathlon included 3.8 km swimming, 180km cycling, 42 km running. It is a proud moment for all of Nepali and motivation especially female athletes of Nepal. We wish her congratulations and best wishes for her future. ;Surprise

NEB Class 12 Exam Update: NEB is planning to conduct class 12 Board exams by the end of Shrawan if everything goes as per plan. The actual modality has not been discussed but they have made different possible modalities according to how the situation may be in the future and the most appropriate one will be followed. The modalities are sent to Education Ministry which will give the final approval, according to Officials. P.S. There is high probability of physical examination like last year also. But it is not final on what way the exam will be conducted.;Sad

Huge price hike: Last year ko comparison ma yo year Khane tel (cooking oil) ra Ghiu ko price nearly 31% le increase bhayeko cha as per Nepal Rastra Bank.;Angry

Recent condition of Phewa lake: As current situation has affected inflow of tourists, boats are not working in full capacity and can be seen parked. The water is also muddy in this monsoon season.;Sad

Weather Update:There is a possibility of light to moderate rain in many places across the country & heavy rain with thunder / lightning in some parts for the next few days. This may result in increased waterflow in rivers, risk of landslide as well. Follow precautions during lightning, and in Flood/Landslide risk areas. ;Sad

Tribhuvan University (TU) has published exam routine for regular examination of even semesters (2nd, 4th & 6th) of BBA, BIM, BBM, BMS, BHM & BTTM. The exam will be starting from Shrawan 26.;Sad

Another record: Popular App TikTok has become the first app not owned by Facebook to reach 3 billion downloads overall as per Sensor Tower report. Consumer spending has also passed $2.5 Billion globally on tiktok.;Surprise

Wow..82 years old Willy Funk is set to become the oldest person to reach space meanwhile, 18 years old Olivier Daemen is also set to become the youngest person to go to space on July 20 if everything goes as per plan. They will travel with World's richest Person Jeff Bezos & his brother in his company 'Blue Origin' Space project.;Surprise

Popular Nepali Artist Palpasa Dangol "Chamsuri of Meri Bassai" has been hospitalised after diagnosis of Kidney Problem. She was kidney patients since last 5 years.We wish her for a speedy recovery. ;Sad

Engineer, ‘The Pillar of Nation’.Happy 59th National Engineer’s Day to all.;Surprise

Good example of Transparency: Recently, Fund was raised for treatment of Late Ujjwal Thapa, founder of Bibeksheel Nepal. Now his family & team have published transparency report of donation. As per the report: 25.3 lakhs were used in his treatment and 42.5 lakhs of remaining money were donated among 7 organisations. Mahabir Pun's NIC got Rs. 15 Lakh from it.;Surprise

Kathmandu Dhumbarahi ma traffic lai truck driver le Rs. 100 Ghus (bribe) dina khojepachi police le driver lai arrest garera karbahi suru gareko cha.;Funny

Man With Big Heart: A man cleaning the road that was affected by rain in Pokhara-29.He says, "I want to make the road clean. Many bike accidents occurred at night. Though it is possible to help during the day time, I was worried about accidents at night" He was helping with pure intentions to save people from being injured and to make his surroundings clean. He has sent a great message for everyone through his work of kindness. ;Surprise

Sad Fact: Nepal ma last 10 yrs ma almost 10 patak Prime Minister change vayeka chhan. #Instability;Funny

Licence Update: Transportation Management Department of Nepal is planning to re-open the application form and examination for licence soon if everything goes as per plan. They are coordinating with the concerned authorities along with the provincial government to make further decisions.;Surprise

After Actress Palpasa Dangol (Chamsuri) was hospitalised with the kidney problem, many individuals and social organisation have started collecting money in her name but she has requested everyone not to collect any funds for her. She says, "मलाई किड्नी चाहिएको हो, पैसा होइन।" तर नेपालको कानुन अनुसार अहिले आफ्ना आफन्तले बाहेक अरूले मृगौला दिन मिल्दैन, त्यही भएर उनको उपचारमा समस्या आईरहेको छ।;Sad

Nepal becomes second highest troops contributing Country in UN Peace Keeping process with a total of 5,571 troops including 294 female peacekeepers. Thank you Nepal Army, Nepal Police and APF for making us proud.;Surprise

NEB Class 12 Exam Update: Ministry of Education, Nepal has asked NEB to make necessary internal preperation for conducting class 12 board examination. According to Official, exam will most probably start in last week of Shrawan or first week of Bhadra, if everything goes as per plan. As per current discussion & planning, Exams of full marks will be conducted with high chance of Home Centre. Official & exact information will be announced within few days (Most probably today or tomorrow) after the meeting.;Sad


Clubhouse love converted into marriage: Probably the first Time in Nepal, Lalita Thapa & Abhishek Khagdi have married each other after first meeting on Clubhouse and falling in love. We wish them a happy married life ahead.;Funny

Historic Day: Exactly 52 yrs ago Neil Armstrong & Buzz Aldrin made history by walking on the moon for the first time.;Surprise

Today is the 4th death anniversary of lead vocalist of Linkin Park 'Chester Bennington. We will always miss you legend ;Sad

Nepal ma first time Cancer patients lai diney medicine Tizig Pharma le produce garne vayeko cha. Esko Banepa ko factory lai Government le production ko lagi approval pani deyeko chha. P.S. The company again has to take permission from Department of Drug Administration for the sales and marketing of this drug.;Surprise

Historic decision: Pandit Dinbandhu Pokhrel has announced to keep "Pujari" from Dalit community at a Ganesh Mandir of Godawari-1, Lalitpur. Pandit Dinbandhu says, "This is a step towards a caste discrimination less society. " ;Surprise

Good News for working students in Australia: Australia has temporarily removed work time limit in supermarkets, age care, tourism, Hospitality etc for international students in locked-down regions which includes New South Wales and Victoria as well as their associated distribution facility.Now, they will be able to work for more than 40 hours in a fortnight (14 days).;Surprise

Flood damage continues: Increase in Waterflow of Marsyangdi River has damaged the bridge connecting Manang's Chame & Nisang Gaunpalika, making it difficult for people in that area.;Sad

Good News: Nepal Telecommunications Authority (NTA) is planning to provide Internet facility of 20 mbps free of cost to all community schools (till class 12) in Nepal for 2 years to be implemented from this fiscal year.;Surprise

Serious issue: Plastic Pollution is increasing day by day in major cities of Nepal and it is becoming unmanageable. This is a picture of Pokhara where plastic bottles can be seen collected in waterway. Plastic pollution is avoidable if we do our part by reusing, recycling and disposing it properly. Let's do our part and help decrease such situations. ;Sad

Nepal Airlines is going to Beijing, China tonight at 11 PM to bring around 8 lakhs doses of COVID-19 vaccines, if everything goes as per plan. It will return tomorrow afternoon by 2 PM.;Surprise

Salyan ma mobile charge garne kura ma daju-bhai ko jhagada huda 12 yrs old bhai le 13 yrs old dai ko ear area ma needle (सियो) le handa dai ko death vayeko chha.;Sad

Back to back Guinness World Record: Dinesh Sunar from Khotang has set a new Guinness World Record for ''The Most Standing Full Twist Back Somersault in 30 Seconds'.With this now he has a total of 5 Guinness World records.;Surprise

Scam Alert: Please don't open any anniversary link on messenger which says you have won scooter or something else. Such scams take away your login details, password etc and may result in accounts being hacked.;Surprise

Interesting: Pachrauta Municipality of Bara will provide NRs 51,000 to all females within the Municipality who will pass Bachelor's Level from this year onwards. It is a help provided for encouraging female education. Let's hope it gets implemented well. ;Surprise

Important Update: Public Vechiles wala haru ko protest ko karan Kathmandu ko different place ma huge traffic jam bhairako chha.;Sad

People's crowd at Krisi Bikas Bank in Khalanga Jajarkot to withdraw money as bank branch in village have no money.;Sad

Important Awareness: MoHP-Nepal has released a notice requesting people to strictly follow necessary precautions as cases are increasing in different districts and it might result in 3rd wave of cases. They have also requested Medical institutions to be ready for such situation, just in case.;Sad

Big Day: Nepali PUBG Mobile team, DRS Gaming is representing Nepal in World's biggest PUBG Mobile Tournament of this season "PUBG Mobile World Invitational" which is starting from today. They will get Nrs. 5 lakhs just for participating and Prize Pool of this tournament is almost Nrs. 35 crores.;Surprise

Nursing License Exam Update: Nepal Nursing Council has decided to conduct the National License Examination for Nurses and Midwives on Bhadra 19 from 9 AM - 11:30 AM.  P.S. Forms can only be submitted online from Shrawan 10 to Bhadra 07.;Surprise

